Bil.,UA,Jumlah responden,Bekerja,Melanjutkan pengajian,Meningkatkan kemahiran,Menunggu penempatan pekerjaan,Belum bekerja,,,,,,,,,
1,Universiti Malaysia Pahang,"2,336",1635,299,128,159,115,,1635,299,128,159,115,,2336,
2,Universiti Pertahanan Nasional Malaysia,563,496,17,8,10,32,,2792,95,44,57,181,,3170,
3,Universiti Pendidikan Sultan Idris,"7,994",6139,200,48,384,1223,,490783,15976,3834,30674,97773,,639040,
4,Universiti Teknologi MARA,"36,427",20618,7759,1275,583,6229,,7510403,2826353,464424,212308,2269044,,13282533,#
5,Universiti Utara Malaysia,"6,142",4521,147,166,135,1173,,277650,9054,10186,8299,72053,,377242,
6,Universiti Teknologi Malaysia,"5,838",3509,782,93,181,1279,,204834,45670,5453,10565,74640,,341163,#
7,Universiti Malaya,"4,584",2787,193,156,440,1013,,127759,8825,7144,20173,46439,,210341,#
8,Universiti Teknikal Malaysia Melaka,"2,632",1529,329,87,68,616,,40248,8659,2286,1801,16210,,69205,#
9,Universiti Putra Malaysia,"6,272",3776,590,113,320,1474,,236815,36978,7081,20062,92444,,393380,#
10,Universiti Islam Antarabangsa Malaysia,"3,965",2177,258,293,289,944,,86310,10219,11634,11476,37417,,157055,#
11,Universiti Kebangsaan Malaysia,"5,640",3593,282,141,271,1359,,202627,15905,7952,15269,76661,,318414,#
12,Universiti Tun Hussein Onn Malaysia,"3,297",1596,696,73,132,801,,52612,22936,2391,4348,26415,,108702,
13,Universiti Malaysia Perlis,"2,744",1213,458,263,129,681,,33281,12574,7228,3539,18673,,75295,
14,Universiti Sains Malaysia,"5,742",3256,390,69,568,1458,,186943,22420,3956,32641,83745,,329706,
15,Universiti Sultan Zainal Abidin,"2,351",865,668,68,94,656,,20340,15697,1603,2211,15421,,55272,
16,Universiti Malaysia Terengganu,"2,753",1401,278,80,165,826,,38577,7655,2198,4547,22737,,75714,#
17,Universiti Sains Islam Malaysia,"2,348",1289,120,94,108,737,,30267,2812,2205,2536,17311,,55131,
18,Universiti Malaysia Sabah,"5,019",2329,276,50,341,2028,,116883,13855,2519,17129,101769,,252156,#
19,Universiti Malaysia Sarawak,"4,153",1557,183,96,270,2047,,64678,7589,3967,11211,85030,,172474,
20,Universiti Malaysia Kelantan,"1,747",676,65,86,59,861,,11811,1129,1495,1038,15046,,30520,
Keseluruhan,,"112,547",57.7,12.4,3,4.2,22.7,,,,,,,,,
Nota: 1) *Bilangan responden UM termasuk responden PPUM.,,,,,,,,,,,,,,,,
           2) Susunan mengikut kadar belum bekerja terendah.,,,,,,,,,,,,,,,,
