"Jadual 3.2.1: Status pekerjaan keseluruhan graduan bagi setiap UA, 2017",,,,,,,
Bil.,UA,Jumlah responden,Bekerja,Melanjutkan pengajian,Meningkatkan kemahiran,Menunggu penempatan pekerjaan,Belum bekerja
,,,(%),,,,
1,UPNM,558,87.3,2.2,3.4,3.6,3.6
2,UMP,"2,660",77.4,9.8,2.5,4.4,6
3,UniMAP,"2,988",56.6,10.4,8.1,10.6,14.2
4,UiTM,"48,768",46.8,33,3,1.6,15.5
5,UPSI,"5,074",54.6,10.4,1.2,14.2,19.6
6,*UM,"4,426",62.1,4.5,1.9,11.9,19.7
7,UUM,"5,394",71.3,2.6,3.2,2.8,20.1
8,USM,"6,141",64.1,4.8,1,9.6,20.5
9,UTM,"5,518",61.3,12,1.2,3.5,21.9
10,UTHM,"4,056",51.8,16.7,2,6.5,23.1
11,UKM,"7,136",62.9,4.1,1.9,7,24.1
12,UTeM,"2,958",57.7,10.3,3.3,3.9,24.8
13,UPM,"5,582",56.3,9.6,1.8,6.1,26.2
14,UIAM,"4,172",50.5,7.7,6.8,8.2,26.7
15,UMT,"2,632",50.3,9.7,2,11.2,26.8
16,USIM,"2,348",55.9,5.6,4,5.5,29
17,UniSZA,"2,281",34.7,26.3,2.6,4.9,31.5
18,UNIMAS,"3,981",46.3,3.9,1.5,6.8,41.4
19,UMK,"2,417",50.3,2.7,1.7,3.7,41.6
20,UMS,"4,985",36.2,5.5,1.4,7.6,49.1
,Keseluruhan,"124,075",52.9,17.8,2.7,5,21.6
Nota: 1) *Bilangan responden UM termasuk responden PPUM.,,,,,,,
           2) Susunan mengikut kadar belum bekerja terendah.,,,,,,,
,,,,,,,
,,,,,,,
Sumber / Sources : ,,,,,,,
"Data Kajian Pengesanan Graduan : SKPG, BPPPD, KPT",,,,,,,
"Tracer study data : MyMohes, Planning, Research and Policy Coordination Division, KPT",,,,,,,
